user_posted,hashtags,,length,num_comments,date_posted,likes,views,video_play_count
shrestha_kundu__,"[""#reelsexplore"",""#reelstrending"",""#reelskarofeelkaro"",""#reeltoreel"",""#fashionvlogger"",""#fyp"",""#fallfashion"",""#outfitinspo"",""#gratitude"",""#shresthakundu""]",,5.5,6,2024-11-11T14:00:22.000Z,24,193,754
amodefamilia,,,10.4,0,2025-03-12T18:53:41.000Z,14,136,542
kofibmusic,"[""#JustPlayItTour"",""#explore"",""#iphone"",""#ringtone"",""#floetry"",""#love"",""#marshaambrosius"",""#fyp"",""#fy"",""#tiktok"",""#sayyes"",""#berkleecollegeofmusic""]",,65.966,240,2022-09-18T23:52:49.000Z,8935,57648,130401
tribudelalma,"[""#espiritualidad"",""#numerosangelicales"",""#mensajedeldia"",""#guíasespirituales"",""#mariposasdelalma"",""#oraculomagico"",""#tribudelalma"",""#oraculo"",""#reelsconmagia""]",,6.966,118,2025-04-21T19:37:21.000Z,999,9603,38081
finely.official,"[""#ส่งฟรี""]",,16,4,2024-12-24T13:12:17.000Z,68,1239,4397
canehar,"[""#ayushmanbharatscheme"",""#AyushmanBharatYojana"",""#AyushmanBharat"",""#incometax"",""#personalfinance"",""#personalfinance"",""#reelsbycanehagupta"",""#canehagupta"",""#incometaxindia"",""#taxupdate"",""#personalfinance"",""#financetips"",""#castudents"",""#bcomstudents"",""#accounting"",""#reel"",""#shorts"",""#reelsviral"",""#reelkaro"",""#taxinformation"",""#taxknowledge"",""#charteredaccountant"",""#shorts"",""#youtubeshorts"",""#viralreels""]",,59.926,9,2024-10-07T10:04:43.000Z,118,1526,4993
dianaserlye,,,8.166,6,2024-12-15T07:16:30.000Z,802,36313,109536
capetown.travel,,,6.666,4,2025-04-12T11:05:30.000Z,456,1231,7035
ishaguptaaa_,"[""#reels"",""#reelsinstagram"",""#reelsindia"",""#instareels"",""#viral"",""#viralreels"",""#viralvideos"",""#trending"",""#trendingreels"",""#explore"",""#explorepage"",""#fyp"",""#like"",""#likesforlike"",""#follow"",""#followers"",""#followforfollowback"",""#instagram"",""#reelsinsta"",""#reelitfeelit"",""#reelkarofeelkaro"",""#saree"",""#desigirl"",""#sareelove""]",,16.083,35,2025-01-30T05:36:36.000Z,787,3611,13869
cokkyacong,"[""#mc"",""#mcjkt"",""#mcweddingjakarta"",""#mcbdg"",""#mcweddingbandung"",""#mcbandung"",""#coffee"",""#coffeeholic"",""#coffeehouse"",""#coffeelover"",""#coffeetime"",""#coffeeshop""]",,29.1,0,2025-01-20T10:25:10.000Z,6,190,537
